问题,选项A,选项B,选项C,选项D,正确答案
古代的死刑在什么季节行刑？,夏季,冬季,春季,秋后,D
我国被称为“不夜城”的城市是哪一城市,呼和浩特,漠河,吉林,辽宁,B
数学符号中的“0”起源于：,古希腊,阿拉伯,古罗马,古印度,D
我国现存的最大的皇家园林是：,故宫,承德避暑山庄,华清池,秦始皇陵,B
中国历史上第一个王朝时代是,商,夏,周,汉,B
傅雷家书是给谁的？,女儿,孙子,儿子,孙女,C
孟子的四端不包括,仁,义,信,智,C
下列矿种中，我国短缺的有：,金刚石,煤,钨,锡,A
马可波罗来中国的时候，中国处于哪个朝代,隋朝,唐朝,清朝,元朝,D
古代著名的水利工程都江堰是谁设计的,李冰父子,张骞,孙思邈,鲁班,A
马拉松赛跑中的“马拉松”一词是指,人名,民族,宗教,地名,D
地球上出现的四季更替是由于,地球自转,地球公转,月球绕地球转,地球绕太阳转,B
世界上最大的坐佛位于,敦煌,印度,西藏,四川,D
中国在南极设立的第一个考察站叫什么名字,长兴站,昆仑站,中山站,长城站,D
称为“数学之神”的科学家是,希尔伯特,阿基米德,欧几里得,笛卡尔,B
法国的凯旋门是为纪念谁而建造的,苏尔特,贝尔纳多特,拿破仑,戴高乐,C
春城是指我国哪一城市,广西,大理,昆明,南宁,C
"“下列四城市中,太阳能最丰富的是",西宁,包头,西安,拉萨,D
山东山西的“山”是指,武夷山,泰山,黄山,太行山,D
世界上华人、华侨最集中的地区是,东南亚,美国,英国,法国,A
中国第一个共产主义小组的领导人是,毛泽东,王明,李大钊,陈独秀,D
太阳在那一天离地球最远,秋分,夏至,冬至,春分,B
人类最早使用的工具是什么材料的,铁,木,青铜,石,D
被誉为“风车之国”是哪个国家,澳大利亚,荷兰,瑞士,芬兰,B
被称为“万物之园”的是,颐和园,圆明园,熙春园,畅春园,B
“书圣”王羲之的代表作是,中兴碑,玄秘塔碑,兰亭序,平复帖,C
电脑的中央处理器英文简写是什么,,VISIT,,WPS,C
哪一季节最不宜发哮喘,夏,冬,秋,春,A
古玛雅人流传于世的水晶头骨共有,11个,12个,15个,13个,D
世界上人口第二的国家是哪个,印度,中国,美国,俄罗斯,A
发明了电话的科学家是,爱因斯坦,牛顿,爱迪生,贝尔,D
以下哪一位曾被称为“药王”,华佗,孙思邈,扁鹊,李时珍,B
陈胜的“鸿鹄之志”中的鸿鹄指的是,老鹰,雕,凤凰,天鹅,D
提出“知识就是力量”的是,陶行知,蔡元培,布鲁纳,培根,D
谁死后布了“七十二疑冢”,秦始皇,曹操,武则天,成吉思汗,B
被人们称作通天河的河流是,黄河,沱沱河,密西西比河,尼罗河,B
世界最深处位于,大西洋,印度洋,太平洋,北冰洋,C
下列海洋中哪一个是我国最大的,南海,东海,黄海,渤海,A
以下能从月球上看到的建筑物是,万里长城,故宫,天安门,卢浮宫,A
在九大行星中，被称为最小最冷的行星是哪一颗,冥王星,天王星,海王星,水星,A
哪个国家有“千湖国”的称号,瑞士,波兰,德国,芬兰,D
美国的国花是什么花,郁金香,玫瑰,天堂鸟,樱花,B
世界上火山最多的洲是,南美洲,北美洲,大洋洲,亚洲,D
工业革命的发祥地在,法国,英国,俄国,美国,B
最早的扇子是用什么做的,纸,羽毛,丝绸,绢,B
下列哪个地方的日照时间最长,毛乌素沙漠,鄂尔多斯沙漠,撒哈拉大沙漠,塔克拉玛干沙漠,C
被称为“国际会议之都”的城市是,渥太华,维也纳,日内瓦,巴黎,C
我国的恐龙博物馆在,四川自贡,云南昆明,广西桂林,湖北神农架,A
弱冠指的是,十五岁,四十岁,五十岁,二十岁,D
世界上最大的稀土矿在我国的,内蒙,甘肃,青海,西藏,A
扑克牌中的“方块”象征着什么,权力,爱心,智慧,财富,D
下列名称不属于二十四节气的是,惊蛰,大伏,小寒,冬至,B
太阳中心说（“日心说”）是谁提出的,伽利略,达尔文,牛顿,哥白尼,D
云冈石窟位于我国哪个省,陕西,山东,安徽,山西,D
我国最大的淡水湖是,西湖,鄱阳湖,太湖,洞庭湖,B
国色指的是,百合,芙蓉,牡丹,月季,C
抗金名将岳飞被害于,陶然亭,爱晚亭,风波亭,醉翁亭,C
““卧龙先生”是谁,诸葛亮,司马徽,庞统,诸葛瑾,A
中国名山崆峒山在哪里,敦煌,张掖,天水,平凉,D
“回眸一笑百媚生”是指哪个美女,杨贵妃,西施,貂蝉,王昭君,A
目前世界上原煤产量最多的国家是,美国,伊拉克,英国,中国,D
“卧薪尝胆”讲的是,范蠡,勾践,夫差,伍子胥,B
世界上最大的冰川在哪个洲,北美洲,大洋洲,北极洲,南极洲,D
世界教徒人数最多的宗教是,佛教,基督教,道教,伊斯兰教,B
“飞鸟尽，良弓藏，狡兔死，走狗烹”是谁最先说的,范蠡,勾践,夫差,伍子胥,A
“五岳”中的南岳是那座山,嵩山,泰山,衡山,华山,C
而立之年是？,四十,五十,三十,七十,C
有一种动物叫“天子妃”，它是,猫,狗,凤凰,天鹅,A
下列哪个是欧洲仅次于伦敦的第二大金融中心,莫斯科,罗马,马德里,巴黎,D
自然界已知的最硬物质是,金刚石,花岗岩,石墨,铬,A
芒种是在阳历的几月,二月,五月,九月,六月,D
人民币的发行机构是,中国农业银行,中国人民银行,中国工商银行,中国建设银行,B
古代被称为大食的国家是,缅甸,日本,朝鲜,阿拉伯,D
布达拉宫最初是为谁建造的,松赞干布,王昭君,高阳公主,文成公主,D
“祸福相依”，是哪一家的思想,儒家,道家,法家,名家,B
《四库全书》是什么时候纂修的,唐代,清代,宋代,明代,B
我国哪个民族喜爱饮用马奶酒,藏族,彝族,蒙古族,朝鲜族,C
我国最先出现的纸币是,金、元纸币,明、清纸币,北宋交子,南宋会子,C
素有“煤铁之乡”之称的省份是哪一省,山西,山东,陕西,青海,A
素有“沙漠之舟”之称的内蒙古双峰驼生长在,荒漠地区,平原地区,高原地区,盆地,A
英文china的意思是,宣纸,丝绸,棉花,瓷器,D
“火把节”是哪个民族的传统节日,藏族,彝族,蒙古族,朝鲜族,B
国鸟是公鸡的国家是,澳大利亚,新西兰,德国,法国,D
举世闻名的泰姬陵在,阿富汗,印度,泰国,比利时,B
儒林外史是哪个朝代的人写的,唐代,清代,宋代,明代,B
谁是“中山装”的创始人,黄兴,宋庆龄,孙中山,孔祥熙,C
沙漠之舟--骆驼的驼峰是用来,贮水的,贮食物的,贮脂肪的,驮物品的,C
经常食用以下哪种食物容易引起铅中毒,松花蛋,油条,豆腐,粉条,A
"""人生自古谁无死，留取丹心照汗青""的作者是",李白,王维,岳飞,文天祥,D
"""变脸""是哪个剧种的绝活",川剧,京剧,豫剧,黄梅戏,A
中国签订的第一个不平等条约是哪个,北京条约,马关条约,辛丑条约,南京条约,D
甲骨文是写在哪上面的,石头,龟骨,树木,贝壳,B
"俗称""四不象""的动物是",骡子,羊驼,羚羊,麋鹿,D
《孙子兵法》的作者是,诸葛亮,庞涓,孙膑,孙武,D
"""喇叭""是对什么乐器的俗称",长号,唢呐,短号,笛子,B
"""春风不度玉门关""是谁的诗句",李白,王昌龄,王之涣,白居易,C
石头城是对我国哪座城市的美称?,广西,南京,昆明,南宁,B
"“""山城""是我国哪座城市的雅号",重庆,包头,西安,拉萨,A
"下列哪一个城市不是我国的""三大火炉""(高温)之一",重庆,武汉,南京,成都,D
下列著名宫殿哪个位于英国,白金汉宫,故宫,凡尔赛宫,克里姆林宫,A
世界上现存最大的佛教艺术宝库是,云冈石窟,龙门石窟,大足石窟,敦煌石窟,D
我国第一座国家森林公园是,武夷山,张家界,长白山,九寨沟,B
"下列名关哪一座被称为""天下第一关""",居庸关,娘子关,潼门关,山海关,D
"下列我国军事家中哪位不是""十大元帅""之一",林彪,毛泽东,罗荣桓,叶剑英,B
"""隐形飞机""是指什么样的飞机",肉眼看不见,雷达测不到,飞行太高看不见,体积太小,B
"""人不可有傲气,但不可无傲骨""是谁的座右铭",李大钊,孙中山,徐悲鸿,周恩来,C
"下列古都哪个被称为""六朝古都""",洛阳,北京,南京,西安,C
"著名古迹""秦始皇兵马俑""位于我国哪个省份",陕西,山西,甘肃,湖南,A
被称为酿酒行业的祖师是谁,柳永,鲁班,孔子,杜康,D
"""文房四宝""中的毛笔是谁发明的",蒙恬,乐毅,闻仲,刘伯温,A
宋氏三姐妹中哪位是孙中山先生的夫人,宋霭龄,宋美龄,宋子文,宋庆龄,D
标志着抗日战争爆发的芦沟桥事变是在哪一年,1936年,1937年,1938年,1939年,B
古代科举考试最后在殿试中考取第一名被称为是,执牛鼻,榜眼,探花,状元,D
著名高校剑桥大学是在哪个国家,中国,美国,法国,英国,D
著名书籍《物种起源》一书是谁所著,哥白尼,达尔文,牛顿,马克思,B
悲剧《窦娥冤》是谁所著,王实甫,关汉卿,马致远,白朴,B
我国要被选为国家主席、副主席年龄要在多少周岁以上,35,40,45,50,C
下列数字中哪一个是西方人最忌讳的,13,4,7,8,A
愚人节是在每一年的哪一天,4月1日,4月3日,4月4日,4月5日,A
"""念慈""是古代对对方亲属中哪一位的尊称",母亲,父亲,伯父,伯母,A
下列哪个国家一般不准女性在生人面前露面,瑞士,波兰,德国,沙特阿拉伯,D
"""丘比特""是西方传说中哪种神的别称",太阳神,爱神,战神,智慧之神,B
"下列哪位僧人是小说""西游记""中唐僧的形象",鸠摩罗比,不空,鉴真,玄奘,D
